comment,label
"Điện thoại hoạt động mượt",positive
"Tôi không hài lòng",negative
"Màn hình hiển thị nét",positive
"Điện thoại  quá đắt",negative
"Tôi thích thiết kế",positive
"Camera chụp ảnh không rõ",negative
"Điện thoại có giá hợp lý",neutral
"Tôi không thích màu sắc",negative
"Chất lượng âm thanh tốt",positive
"Điện thoại không đặc biệt",neutral
"Điện thoại hữu ích",positive
"Tôi không thích giao diện",negative
"Độ phân giải màn hình tốt",positive
"Điện thoại quá to",negative
"Tôi thích nó",positive
"Thời gian pin ngắn",negative
"Điện thoại giá cả phù hợp",neutral
"Tôi không thích chất liệu vỏ",negative
"Chất lượng loa tốt",positive
"Điện thoại không đẹp",negative
"Cuộc gọi rất tốt",negative
"Điện thoại rất nhẹ",positive
"Các ứng dụng chậm chạp",negative
"Màn hình cảm ứng rất nhạy",positive
"Điện thoại quá mỏng",negative
"Tôi thích thông báo",positive
"Tôi không thích video",negative
"Điện thoại bình thường",neutral
"multitasking chậm",negative
"Chất lượng cuộc gọi rất tốt",positive
"không có gì nổi bật",neutral
"Giá quá đắt",negative
"thời lượng pin tốt",positive
"Chạy ứng dụng nặng rất chậm",negative
"Màn hình dễ sử dụng",positive
"Viền của điện thoại quá dày",negative
"Thông báo hiệu quả",positive
"Quay màn hình không tốt",negative
"Điện thoại thường",neutral
"Tôi không thích chậm",negative
"âm thanh rõ ràng",positive
"thua cả con cùi bắp",neutral
"Độ phân giải màn hình ngon",positive
"không hỗ trợ sạc nhanh",negative
"Thiết kế hiện đại",positive
"Điện thoại quá to",negative
"Cầm vừa tay",positive
"Pin không tốt",negative
"không đáp ứng",negative
"giá cả phù hợp",neutral
"không quá mắc không quá rẻ",neutral
"dễ bị trầy xước",negative
"âm thanh rõ ràng và to",positive
"một sản phẩm bình thường",neutral
"không có gì đặc biệt",neutral
"chiến game tốt",positive
"máy rất mạnh",positive
"hiệu năng kém thật",negative
"cũng tạm ổn",neutral
"điện thoại dùng khá sướng",positive
"xài cũng được, không quá ngon",neutral
"sạc chậm quá",negative
"máy chạy mượt lắm nhé",positive
"Điện thoại này thật tuyệt vời",positive
"Tôi yêu thiết kế của nó",positive
"Màn hình rất sắc nét",positive
"Pin kéo dài cả ngày",positive
"Camera chụp ảnh tốt",positive
"Tôi thích màu của nó",positive
"Nó hoạt động mượt mà",positive
"Cảm biến vân tay nhanh",positive
"Loa có âm thanh tốt",positive
"Giá cả hợp lý",positive
"Nó rất nhẹ",positive
"Kích thước vừa phải",positive
"Nó chạy ứng dụng nhanh",positive
"Tôi thích giao diện của nó",positive
"Nó có nhiều tính năng",positive
"Nó chống nước",positive
"Nó chịu được va đập",positive
"Nó có bộ nhớ lớn",positive
"Nó hỗ trợ 5G",positive
"Nó có sạc nhanh",positive
"Tôi không thích màu sắc",negative
"Nó hơi to",negative
"Pin không kéo dài lâu",negative
"Màn hình không đủ sáng",negative
"Camera không tốt lắm",negative
"Giá hơi cao",negative
"Nó hơi nặng",negative
"Không thích giao diện của nó",negative
"Loa không đủ to",negative
"Cảm biến vân tay chậm",negative
"Không có jack tai nghe",negative
"Không hỗ trợ sạc không dây",negative
"Không có bộ nhớ mở rộng",negative
"Không thích vị trí nút nguồn",negative
"Không có tính năng chống nước",negative
"Điện thoại này ổn thôi",neutral
"Màn hình cũng khá sắc nét",positive
"Pin cũng tạm được",neutral
"Camera chụp ảnh khá ổn",neutral
"Giá cả cũng hợp lý",neutral
"Kích thước cũng vừa phải",neutral
"Chạy ứng dụng khá mượt mà",neutral
"Giao diện cũng khá dễ nhìn",neutral
"Cũng có khá nhiều tính năng",neutral
"Loa cũng khá to",neutral
"Cảm biến vân tay cũng tạm",neutral
"Màu sắc cũng tạm đẹp",neutral
"Thiết kế ổn",neutral
"Bộ nhớ cũng chưa lớn lắm",neutral
"Hỗ trợ 5G là điểm cộng",neutral
